"KW";"Monat";"Route";"Objekt";"Ort";"Leistung";"Kategorie";"Dauer"
"34";"8";"H08";"WSG-011";"Rapperswil-Jona";"Fensterreinigung";"SR";"53"
"34";"8";"H08";"WSG-109";"Winterthur";"Fensterreinigung";"SR";"24"
"45";"11";"H08";"WSG-106";"Winterthur";"Fensterreinigung";"SR";"25"
"45";"11";"H08";"WSG-110";"Winterthur";"Fensterreinigung";"SR";"23"
"46";"11";"H08";"WSG-021";"Frauenfeld";"Fensterreinigung";"SR";"60"
"46";"11";"H08";"WSG-107";"Winterthur";"Fensterreinigung";"SR";"23"
"47";"11";"H08";"WSG-011";"Rapperswil-Jona";"Fensterreinigung";"SR";"53"
"47";"11";"H08";"WSG-109";"Winterthur";"Fensterreinigung";"SR";"24"
"7";"2";"H09";"WSG-015";"Pfäffikon SZ";"Fensterreinigung";"SR";"32"
"20";"5";"H09";"WSG-015";"Pfäffikon SZ";"Fensterreinigung";"SR";"32"
"33";"8";"H09";"WSG-015";"Pfäffikon SZ";"Fensterreinigung";"SR";"32"
"46";"11";"H09";"WSG-015";"Pfäffikon SZ";"Fensterreinigung";"SR";"32"
"6";"2";"H10";"WSG-017";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"7";"2";"H10";"WSG-018";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"8";"2";"H10";"WSG-068";"Richterswil";"Fensterreinigung";"SR";"98"
"19";"5";"H10";"WSG-017";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"20";"5";"H10";"WSG-018";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"21";"5";"H10";"WSG-068";"Richterswil";"Fensterreinigung";"SR";"98"
"32";"8";"H10";"WSG-017";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"33";"8";"H10";"WSG-018";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"34";"8";"H10";"WSG-068";"Richterswil";"Fensterreinigung";"SR";"98"
"45";"11";"H10";"WSG-017";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"46";"11";"H10";"WSG-018";"Wilen b. Wollerau";"Fensterreinigung";"SR";"42"
"47";"11";"H10";"WSG-068";"Richterswil";"Fensterreinigung";"SR";"98"
"6";"2";"H11";"WSG-029";"Zug";"Fensterreinigung";"SR";"43"
"8";"2";"H11";"WSG-028";"Zug";"Fensterreinigung";"SR";"43"
"19";"5";"H11";"WSG-029";"Zug";"Fensterreinigung";"SR";"43"
"21";"5";"H11";"WSG-028";"Zug";"Fensterreinigung";"SR";"43"
"32";"8";"H11";"WSG-029";"Zug";"Fensterreinigung";"SR";"43"
"34";"8";"H11";"WSG-028";"Zug";"Fensterreinigung";"SR";"43"
"45";"11";"H11";"WSG-029";"Zug";"Fensterreinigung";"SR";"43"
"47";"11";"H11";"WSG-028";"Zug";"Fensterreinigung";"SR";"43"
"7";"2";"H12";"WSG-032";"Affoltern am Albis";"Fensterreinigung";"SR";"108"
"8";"2";"H12";"WSG-027";"Zug";"Fensterreinigung";"SR";"73"
"20";"5";"H12";"WSG-032";"Affoltern am Albis";"Fensterreinigung";"SR";"108"
"21";"5";"H12";"WSG-027";"Zug";"Fensterreinigung";"SR";"73"
"33";"8";"H12";"WSG-032";"Affoltern am Albis";"Fensterreinigung";"SR";"108"
"34";"8";"H12";"WSG-027";"Zug";"Fensterreinigung";"SR";"73"
"46";"11";"H12";"WSG-032";"Affoltern am Albis";"Fensterreinigung";"SR";"108"
"47";"11";"H12";"WSG-027";"Zug";"Fensterreinigung";"SR";"73"
"6";"2";"H13";"WSG-009";"Wettingen";"Fensterreinigung";"SR";"34"
"19";"5";"H13";"WSG-009";"Wettingen";"Fensterreinigung";"SR";"34"
"32";"8";"H13";"WSG-009";"Wettingen";"Fensterreinigung";"SR";"34"
"45";"11";"H13";"WSG-009";"Wettingen";"Fensterreinigung";"SR";"34"
